iter	RMSE
0	0.4963131106
1	0.4928098663
2	0.489338419
3	0.4859277422
4	0.4832224366
5	0.4800231857
6	0.4767234527
7	0.4736383192
8	0.4702767171
9	0.4673404234
10	0.4643532054
11	0.4612514319
12	0.4582527146
13	0.4556025725
14	0.4528452495
15	0.4495114979
16	0.4467422635
17	0.4451983009
18	0.4422460381
19	0.4396724416
20	0.4370067159
21	0.4346940686
22	0.4321486307
23	0.429595307
24	0.4271496394
25	0.4247896483
26	0.4223822118
27	0.4197755601
28	0.4174182284
29	0.4148145253
30	0.4123950909
31	0.410118872
32	0.4075673201
33	0.4051124527
34	0.4029594151
35	0.4010072103
36	0.3993560545
37	0.3973848958
38	0.3951867667
39	0.3934898808
40	0.3917936091
41	0.3898512448
42	0.3878625121
43	0.386051659
44	0.3842055008
45	0.3820916768
46	0.3802247441
47	0.3781484275
48	0.3760673949
49	0.374314493
50	0.3726424376
51	0.3713325908
52	0.3701648474
53	0.3682364985
54	0.3663418046
55	0.364898759
56	0.3632503563
57	0.3615115419
58	0.359697476
59	0.3580513466
60	0.3567612674
61	0.3559341944
62	0.3545989323
63	0.3533275076
64	0.351950341
65	0.3505391758
66	0.3490913013
67	0.3473047685
68	0.3458232967
69	0.344371211
70	0.3426552393
71	0.3411705473
72	0.3398106264
73	0.3390013525
74	0.3377701799
75	0.3364088674
76	0.3353567163
77	0.3343889021
78	0.3330946792
79	0.3322058316
80	0.3311466804
81	0.3300143159
82	0.3290713868
83	0.3282363944
84	0.3271308787
85	0.3260479641
86	0.3251878011
87	0.3241240983
88	0.3229219294
89	0.3216490129
90	0.3206542776
91	0.3190553277
92	0.3180815497
93	0.3172432785
94	0.3164114126
95	0.315419049
96	0.3144801846
97	0.3135690487
98	0.3130712655
99	0.3122719895
100	0.3112685588
101	0.3102376026
102	0.3095404802
103	0.3087511015
104	0.3075269194
105	0.3068058716
106	0.3062039513
107	0.3056610685
108	0.3050002981
109	0.3043783412
110	0.3034139446
111	0.3026928593
112	0.3016621115
113	0.3005990721
114	0.2999885164
115	0.2990359152
116	0.298090566
117	0.2971052694
118	0.2962719837
119	0.2956334194
120	0.29492761
121	0.2943348114
122	0.2934787917
123	0.2930338769
124	0.2923859587
125	0.2912736904
126	0.2906044546
127	0.2901067086
128	0.2895854829
129	0.2891509378
130	0.2884802692
131	0.2877436143
132	0.2871701422
133	0.2864666086
134	0.2857971415
135	0.2852854603
136	0.2847667128
137	0.2844333227
138	0.2839163363
139	0.28342045
140	0.2828716565
141	0.2823300043
142	0.281711831
143	0.2813149716
144	0.2805460427
145	0.2800249535
146	0.2796419327
147	0.2791643661
148	0.278721608
149	0.2782402529
150	0.277762576
151	0.2775061884
152	0.2770862403
153	0.276615019
154	0.2761056875
155	0.2757281233
156	0.2752440581
157	0.274676551
158	0.2743587644
159	0.2739349975
160	0.2735226885
161	0.273104178
162	0.2727567574
163	0.2723803903
164	0.271770806
165	0.2712316856
166	0.2710518731
167	0.2706382277
168	0.2702514124
169	0.2698263665
170	0.269465438
171	0.2693167862
172	0.2688841693
173	0.2684839931
174	0.2678147293
175	0.2675063235
176	0.2671803414
177	0.2666977236
178	0.2661824321
179	0.2657481427
180	0.2654061409
181	0.265008312
182	0.2643953339
183	0.2640282242
184	0.2634089136
185	0.2630166732
186	0.2626651829
187	0.2622435371
188	0.2618370555
189	0.2613978223
190	0.2611712285
191	0.2609004571
192	0.2605941971
193	0.2603148561
194	0.2598146121
195	0.2592201987
196	0.2588996551
197	0.258476517
198	0.257881014
199	0.2576331966
200	0.2573289358
201	0.2570323627
202	0.2566727888
203	0.2564008435
204	0.2561837353
205	0.2557455155
206	0.2553898524
207	0.254984506
208	0.2545799078
209	0.254084608
210	0.2539678475
211	0.253708642
212	0.2533131897
213	0.2530956709
214	0.252742429
215	0.2523468538
216	0.2520953281
217	0.2516301808
218	0.2512296213
219	0.2509286838
220	0.2505082426
221	0.2502504454
222	0.2500123523
223	0.2495710672
224	0.2491238157
225	0.2487196537
226	0.2484837176
227	0.2480331962
228	0.247659895
229	0.2473394089
230	0.2470183302
231	0.246827919
232	0.2464608338
233	0.2461019559
234	0.2459062433
