iter	Passed	Remaining
0	1	16132
1	3	12289
2	4	11330
3	5	10950
4	6	9834
5	7	9811
6	8	9810
7	9	9875
8	10	9693
9	11	9525
10	12	9399
11	13	9348
12	15	9616
13	16	9692
14	17	9740
15	19	9760
16	20	9714
17	20	9353
18	21	9365
19	23	9438
20	24	9499
21	25	9533
22	27	9754
23	28	9861
24	30	9879
25	31	9860
26	32	9910
27	33	9895
28	35	9897
29	36	9903
30	37	9890
31	38	9935
32	40	9980
33	41	10027
34	43	10068
35	44	10167
36	46	10193
37	47	10218
38	49	10256
39	50	10290
40	52	10465
41	54	10537
42	55	10576
43	57	10625
44	58	10637
45	59	10593
46	60	10545
47	62	10554
48	64	10638
49	65	10627
50	66	10645
51	68	10688
52	68	10577
53	70	10597
54	71	10593
55	72	10597
56	74	10613
57	76	10674
58	77	10687
59	79	10710
60	80	10717
61	81	10721
62	83	10749
63	84	10781
64	86	10809
65	88	10875
66	89	10900
67	91	10926
68	92	10945
69	94	10976
70	96	11017
71	97	11042
72	99	11057
73	102	11295
74	104	11326
75	106	11332
76	107	11285
77	108	11312
78	110	11324
79	111	11349
80	113	11351
81	117	11631
82	121	11885
83	125	12080
84	130	12442
85	133	12538
86	135	12665
87	139	12865
88	144	13111
89	146	13217
90	153	13671
91	156	13790
92	161	14056
93	169	14568
94	172	14739
95	175	14780
96	177	14792
97	179	14857
98	181	14835
99	184	14894
100	185	14877
101	187	14873
102	190	14942
103	193	15047
104	195	15084
105	197	15097
106	200	15126
107	201	15110
108	203	15120
109	207	15250
110	209	15239
111	211	15243
112	214	15315
113	216	15329
114	218	15344
115	220	15353
116	222	15349
117	224	15359
118	226	15338
119	228	15359
120	230	15350
121	232	15348
122	233	15334
123	235	15346
124	237	15338
125	239	15326
126	241	15340
127	245	15484
128	248	15505
129	249	15493
130	252	15512
131	254	15545
132	257	15581
133	258	15573
134	262	15660
135	264	15685
136	270	15915
137	273	15953
138	275	15956
139	277	15966
140	279	15972
141	281	15960
142	283	15956
143	285	15949
144	287	15938
145	289	15930
146	290	15912
147	293	15933
148	295	15928
149	297	15935
150	298	15917
151	300	15872
152	301	15849
153	303	15839
154	305	15824
155	307	15827
156	309	15849
157	312	15881
158	315	15955
159	318	15998
160	321	16021
161	324	16086
162	327	16140
163	332	16290
164	335	16338
165	340	16450
166	341	16399
167	344	16455
168	348	16537
169	350	16530
170	352	16513
171	353	16491
172	357	16550
173	360	16591
174	362	16617
175	364	16622
176	367	16641
177	372	16788
178	375	16799
179	377	16800
180	380	16844
181	387	17040
182	392	17159
183	394	17174
184	397	17217
185	400	17230
186	402	17245
187	405	17251
188	407	17255
189	410	17286
190	412	17284
191	415	17303
192	417	17314
193	420	17348
194	422	17346
195	427	17421
196	429	17421
197	437	17654
198	439	17668
199	446	17848
200	449	17889
201	453	17918
202	455	17931
203	467	18295
204	471	18387
205	474	18397
206	476	18392
207	479	18407
208	481	18405
209	485	18436
210	486	18407
211	489	18425
212	491	18408
213	496	18522
214	499	18519
215	501	18513
216	503	18501
217	506	18511
218	510	18587
219	513	18596
220	515	18592
221	518	18600
222	554	19817
223	557	19840
224	563	19944
225	568	20041
226	573	20126
227	575	20115
228	579	20137
229	581	20118
230	583	20099
231	590	20261
232	600	20516
233	603	20531
234	606	20532
