age,income,credit_score,months_customer,num_products,balance,country,gender,has_credit_card,is_active_member,churn
56,125186.0,414,85,2,37111.29384301278,France,Male,No,No,1
69,54674.0,622,72,1,92076.66084633574,USA,Female,Yes,Yes,0
46,55854.0,339,55,1,,USA,Male,No,No,1
32,66271.0,339,9,4,53833.19432557134,France,Female,Yes,No,1
60,93688.0,588,47,3,26885.35143821935,UK,Female,Yes,Yes,0
25,58518.0,561,15,3,36844.89199165789,Spain,Female,Yes,No,1
38,131076.0,515,48,4,89534.60891531693,Spain,Female,No,No,1
56,30267.0,446,110,1,66646.30475268357,Germany,Female,No,Yes,1
36,110825.0,635,104,2,78738.70267523329,France,Male,No,Yes,0
40,21062.0,467,82,1,45434.542306765514,Germany,Female,No,No,1
28,136664.0,391,42,1,63024.72194561579,Germany,Female,Yes,No,1
28,70448.0,652,60,2,24838.36087432075,USA,Male,No,Yes,0
41,115462.0,662,84,4,70546.08302834863,Spain,Male,Yes,Yes,0
53,26229.0,644,70,3,42760.13337033373,Germany,Male,No,No,0
57,76793.0,469,12,4,44254.551481474555,USA,Female,No,No,1
41,134813.0,655,2,4,64932.232457688166,France,Female,Yes,No,0
20,67915.0,490,7,1,93628.06214689267,Germany,Female,Yes,Yes,1
39,24632.0,721,80,3,6400.6346608620925,Spain,Female,No,No,1
19,124592.0,306,3,3,82474.32373470077,,Female,No,Yes,0
41,23596.0,432,109,4,29238.311041219313,France,Female,Yes,Yes,0
61,129779.0,330,3,2,44391.94545063778,Germany,Male,Yes,Yes,0
47,26168.0,834,27,4,2191.3328775008954,Spain,Male,Yes,No,1
55,128099.0,725,114,2,30104.607783431304,USA,Female,Yes,No,0
19,27561.0,693,107,3,50263.12426301305,Spain,Female,Yes,No,1
38,93794.0,662,40,4,5617.607734743901,USA,Female,No,Yes,0
50,102152.0,736,102,1,49109.572938316516,UK,Female,No,No,1
29,145036.0,381,33,4,92711.06288584274,Spain,Female,No,Yes,1
39,144049.0,655,92,3,10539.321810780522,Spain,Male,No,Yes,0
61,46734.0,557,1,1,76444.07280755043,France,Male,Yes,Yes,0
42,,823,119,1,40967.10533759926,Germany,Female,Yes,Yes,0
66,138894.0,594,8,2,65517.37145243381,USA,Male,Yes,Yes,0
44,46069.0,523,101,1,26023.659798522935,USA,Female,No,Yes,0
59,99905.0,824,32,1,15949.226254135829,France,Female,Yes,No,1
45,32910.0,345,48,4,16046.261427122643,France,Female,Yes,Yes,0
33,93479.0,412,107,3,7049.1945643144645,Germany,Male,No,No,1
32,97735.0,532,101,2,18564.670490124303,Germany,Male,No,Yes,0
64,101264.0,316,4,4,66421.93849889682,Spain,Female,No,No,1
68,43275.0,659,94,1,88169.06118435081,UK,Male,Yes,No,1
61,92274.0,522,70,1,81412.56855911619,Germany,Male,Yes,No,1
69,101449.0,747,110,2,68513.4309874484,France,Female,No,No,0
20,120776.0,664,118,3,11043.186341110268,,Male,No,Yes,0
54,80004.0,625,19,2,28918.744629594985,USA,Male,Yes,Yes,0
68,82981.0,766,32,4,30980.6875322469,UK,Female,No,Yes,0
24,104659.0,713,9,2,24995.69463976212,Spain,Female,Yes,Yes,0
38,,754,12,1,51500.56597097231,USA,Male,No,No,1
26,,532,11,4,53555.38148796726,USA,Female,No,No,1
56,54529.0,523,46,1,35688.59751711102,UK,Male,No,No,1
35,146394.0,711,119,3,35378.9158736436,Spain,Female,Yes,Yes,0
21,95703.0,634,16,1,82855.55979060814,France,Female,Yes,No,1
42,96090.0,521,1,1,78929.28483196856,Spain,Female,No,Yes,0
31,37260.0,336,63,2,30779.583168074565,Germany,Female,Yes,No,1
67,132581.0,577,109,1,91378.84438732592,USA,Male,No,No,1
26,23812.0,495,119,4,95281.5017002506,Germany,Female,No,No,1
43,48024.0,783,117,4,32674.254203004082,France,Female,Yes,No,0
19,78656.0,541,21,3,35442.49487930549,Germany,Female,Yes,No,1
37,136148.0,623,30,4,50563.41534219588,Spain,Male,Yes,Yes,0
45,47285.0,491,13,2,94112.08125336735,Germany,Male,Yes,No,1
64,112436.0,316,34,3,87631.94331423115,France,Female,No,Yes,0
24,136421.0,823,4,4,10256.79625835898,France,Female,Yes,Yes,0
61,21605.0,700,28,2,39273.07432714162,France,Female,Yes,Yes,0
25,91158.0,321,102,4,55337.11897497719,Spain,Female,No,Yes,1
64,92303.0,773,95,4,50313.247255154005,France,Female,No,Yes,0
52,47139.0,419,59,1,19386.306793689266,USA,Female,No,Yes,1
31,97149.0,509,119,4,85881.67711681547,France,Male,No,Yes,0
34,76138.0,605,27,4,67694.07829968374,Germany,Female,Yes,Yes,0
53,138205.0,569,69,2,83790.83748518035,Germany,Female,Yes,No,0
67,96125.0,584,25,2,85876.42793494722,Germany,Female,No,No,1
57,33918.0,526,3,1,74835.58536657397,Spain,Female,No,Yes,0
21,105655.0,680,97,4,43921.06012497174,Germany,Female,Yes,Yes,0
19,47446.0,759,68,1,61054.67550154246,Spain,Female,Yes,Yes,1
23,144040.0,306,25,4,16036.540611974315,Spain,Male,Yes,No,1
59,33046.0,328,20,3,67364.54174749077,France,Male,Yes,No,1
21,149922.0,332,34,3,17925.325573928076,USA,Male,Yes,Yes,1
46,44818.0,378,26,1,69394.95905101568,France,Male,No,Yes,1
35,120894.0,758,5,1,,France,Male,No,No,1
43,135751.0,837,99,1,11755.130015021998,,Male,No,No,1
61,24324.0,781,61,2,16528.449014295744,Spain,Female,No,Yes,0
51,96323.0,729,92,2,199.2135219070268,Germany,Female,Yes,Yes,0
27,29111.0,584,93,2,71873.96178535302,Germany,Female,No,Yes,0
53,58110.0,815,9,1,73240.10490583791,France,Female,Yes,Yes,0
31,36389.0,398,116,4,51493.334991325944,UK,Female,Yes,No,1
48,142177.0,696,102,3,16136.28010553837,UK,Female,Yes,No,0
65,61427.0,788,50,1,8355.433751068975,Germany,Male,Yes,Yes,1
32,99579.0,338,6,2,1912.8966437287008,UK,Female,Yes,Yes,0
25,48746.0,570,83,2,16574.81769652207,Germany,Male,Yes,Yes,0
31,142883.0,456,60,1,89085.55349831468,Spain,Male,Yes,No,1
40,107886.0,374,44,1,24153.684170168177,France,Female,No,Yes,1
57,127141.0,429,11,2,35427.132721721566,USA,Female,Yes,Yes,1
38,20117.0,383,66,4,10534.548448133319,France,Female,No,Yes,0
33,145808.0,321,47,2,22236.13047481703,Germany,Female,No,No,1
62,132221.0,758,108,2,51922.45707802051,Germany,Female,Yes,Yes,0
35,104471.0,838,108,1,60775.268309565254,,Female,Yes,No,1
64,132613.0,681,73,4,24535.231416621107,Germany,Female,No,Yes,0
41,,739,85,2,5773.215922511721,UK,Male,No,Yes,0
43,149597.0,320,88,2,39103.286912739866,UK,Female,No,Yes,0
42,123864.0,602,98,3,23420.337092633414,Germany,Female,No,No,0
